Sektion,Gefordert,TODO_Status,Vorhanden,GAP_Status,Notiz
1.3 Aktions- und Interaktionskette (neu),Echte Audio-Capture-Blöcke (Mic/USB/BLE) statt deterministischer Fixtures in `dsp.process`, ,ALTERNATIVE,ALTERNATIVE,
1.3 Aktions- und Interaktionskette (neu),Ketten-Persistenz über App-Neustarts (Session-Store `dist/sessions/*.cypher.json` + `/api/,x,VORHANDEN,GEDECKT,
1.3 Aktions- und Interaktionskette (neu),Streaming-Events (SSE `/api/events/stream`) zusätzlich zu Polling für `/api/events`.,x,VORHANDEN,GEDECKT,
1.3 Aktions- und Interaktionskette (neu),WASM-Build des C++-DSP-Kerns — **Alternative DONE:** `scripts/build_wasm.sh` (lokal) + `sc,x,VORHANDEN,GEDECKT,
1.3 Aktions- und Interaktionskette (neu),Playwright-basierte UI-Tests zusätzlich zum DOM-Stub-Harness., ,FEHLT,GAP,
1.3 Aktions- und Interaktionskette (neu),Ketten-Replay aus `.cypher` (Re-Import und erneute Ausführung) — `POST /api/session/import,x,VORHANDEN,GEDECKT,
2. Globale Produkt-Reife TODOs,"Einen finalen Scope für `v5.0.0` festlegen: Demo, Beta, Hardware Preview oder Production.", ,FEHLT,GAP,
2. Globale Produkt-Reife TODOs,"Akzeptanzkriterien pro Plattform definieren: Android, Linux, macOS, Windows, Web/PWA.", ,FEHLT,GAP,
2. Globale Produkt-Reife TODOs,Mindesthardware definieren:, ,FEHLT,GAP,
2. Globale Produkt-Reife TODOs,Performance-Budgets verbindlich festlegen:, ,FEHLT,GAP,
2. Globale Produkt-Reife TODOs,Sicherheitsmodell finalisieren:, ,FEHLT,GAP,
2. Globale Produkt-Reife TODOs,Lizenzmodell für alle Dependencies prüfen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Echte Oboe/AAudio Engine einbauen., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Audio Callback mit Float32 Stream implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Input/Output Device Selection via Android `AudioManager` implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,USB-C Audio Class Device Discovery implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Hotplug Listener für USB attach/detach implementieren., ,FEHLT,GAP,
